Nr;Event;F1-P;F1-R;Purity;CMM;CMM Basic;CMM Missed;CMM Misplaced;CMM Noise;CA Seperability;CA Noise;CA Model;SSQ;BSS;BSS-GT;BSS-Ratio;SilhCoeff;van Dongen;Rand statistic;
28;;0.055766012614370516;0.09832355224118794;0.8250134952766531;0.755225519451559;0.10799999999999998;0.755225519451559;1.0;1.0;0.5;1.0;0.02300000000000002;41.185608517841615;152.24239095311026;1.4476425030588;105.16573714258134;0.6832261291809364;0.7585;0.5073593593593594;
29;;0.06805499293355086;0.10010501050105011;0.9061278195488722;0.8254588702946162;0.11699999999999999;0.8254588702946162;1.0;1.0;0.5;1.0;0.14500000000000002;47.48969198559833;144.83719383521682;15.084462994708556;9.601746769906487;0.7025459155389702;0.7475;0.49823223223223223;
30;;0.048955573429940065;0.07825427832291251;0.6995173745173745;0.7914651613839069;0.09999999999999998;0.7914651613839069;1.0;1.0;0.5;1.0;0.08399999999999996;32.40225771161415;179.51524696717564;1.8183245017015;98.7256382450954;0.6237300102970486;0.7635;0.5164684684684685;
31;;0.05929299547648191;0.10459318901416925;0.7767995746943115;0.7793971166968109;0.10699999999999998;0.7793971166968109;1.0;1.0;0.5;1.0;0.03500000000000003;37.588118162295196;399.4087259140206;42.68477386707683;9.357170947134579;0.6731237478504946;0.747;0.509009009009009;
32;;0.0674410333027595;0.0821025005467668;0.9020634920634922;0.7894501095005397;0.10199999999999998;0.7894501095005397;1.0;1.0;0.5;1.0;0.04800000000000004;31.608336915517928;145.15512800280925;0.8252490731074398;175.89250655712206;0.7478806456460185;0.738;0.5031671671671671;
33;;0.06289279171048959;0.09255562439289292;0.8140055266371057;0.7601046217861112;0.11199999999999999;0.7601046217861112;1.0;1.0;0.5;1.0;0.038000000000000034;36.40440785001769;141.923802335377;2.278707429991061;62.282590765034605;0.7466093022082365;0.757;0.5060740740740741;
34;;0.0624427246047757;0.08182734445088477;0.7285322864270232;0.782427559996095;0.11199999999999999;0.782427559996095;1.0;1.0;0.5;1.0;0.010000000000000009;26.69790144407992;128.62863058765416;2.167078176969235;59.35578695529462;0.632830834316179;0.743;0.509045045045045;
35;;0.06573220884879417;0.0969721767594108;0.7865481848518556;0.7920751988822442;0.15100000000000002;0.7920751988822442;1.0;1.0;0.5;1.0;0.08899999999999997;37.622549195655466;364.130061363821;46.406045111593556;7.846608356480068;0.650901666910348;0.774;0.5291251251251251;
36;;0.08293592453539193;0.11218966334755806;0.7478235117708802;0.8327131403787358;0.16800000000000004;0.8327131403787358;1.0;1.0;0.5;1.0;0.07699999999999996;31.403664781023863;245.69800012186414;23.704846488720445;10.364884676168455;0.6749747548819423;0.7455;0.5094774774774775;
37;;0.04405724963592795;0.05877568095193827;0.8356402218471184;0.7873525993982022;0.09399999999999997;0.7873525993982022;1.0;1.0;0.5;1.0;0.11699999999999999;52.388748414056145;206.48630050367422;37.80117845299939;5.462430245671092;0.6383697966016417;0.7865;0.5312092092092092;
38;;0.06806927092544499;0.11346596234131379;0.7746515151515151;0.7917575264024769;0.11399999999999999;0.7917575264024769;1.0;1.0;0.5;1.0;0.07499999999999996;32.12973864409382;107.39784655980668;4.454783211587411;24.1084338920135;0.7228557355306667;0.7195;0.5009829829829829;
39;;0.06084350299353327;0.09271880257084933;0.7345962732919256;0.7784509231224204;0.10199999999999998;0.7784509231224204;1.0;1.0;0.5;1.0;0.07199999999999995;36.12854140789673;145.50721680167123;10.941884465627698;13.29818618161803;0.6870120891581439;0.745;0.5123023023023023;
40;;0.07601050575976494;0.11978705144396146;0.7242434575938412;0.7937665761627802;0.131;0.7937665761627802;1.0;1.0;0.5;1.0;0.05400000000000005;33.31660611714802;121.42619412536389;4.797377758916902;25.310951154444453;0.6688867742152116;0.719;0.5039539539539539;
41;;0.08548861619689913;0.1357730531117628;0.7763089851325146;0.7880043216510163;0.14100000000000001;0.7880043216510163;1.0;1.0;0.5;1.0;0.08299999999999996;30.255674356716067;115.79622500227367;8.263185966146121;14.013508285628;0.720571797816173;0.709;0.5027887887887887;
42;;0.053641682231357526;0.06598674070632657;0.8099747802107149;0.8100019618470777;0.08699999999999997;0.8100019618470777;1.0;1.0;0.5;1.0;0.01100000000000001;39.732229957372155;129.78471688364914;2.7439482183139052;47.29852991300213;0.6239518641006653;0.737;0.5028968968968969;
43;;0.06394089025204294;0.10502145571644245;0.757760532150776;0.7773829525079595;0.11199999999999999;0.7773829525079595;1.0;1.0;0.5;1.0;0.04500000000000004;27.797079494158734;130.5461138830821;6.665866703657281;19.584267085847507;0.6919734396895638;0.7655;0.514102102102102;
44;;0.07400970249933277;0.08760343994303656;0.8543794201441258;0.7861746717318631;0.11499999999999999;0.7861746717318631;1.0;1.0;0.5;1.0;0.017000000000000015;26.370652411424697;119.7139835355741;1.5106443718692304;79.24696623828365;0.7205980962661316;0.7465;0.5075235235235235;
